0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
-693.706,50.268967,0.3894448,14.521958,3.1664815,-2.4844515,-4.226547,-10.68214,-7.246645,1.6888667,-4.1754003,1.7342993,-5.0739985,2.4848847,-2.8925328,-3.6533303,-1.9971808,-0.9058549,-6.126805,-1.5930017,-2.4785504,-5.7583838,-0.069723874,-3.945488,-2.7031627,-0.76647216,-1.46151,-0.8820293,-3.2018094,-2.4590607,-2.9087017,-2.8696594,-1.775502,-0.7319705,-3.7946773,-2.3766618,-3.9002647,-1.753594,-1.986424,-3.6971278,neutral
-683.44385,49.043922,-1.7555562,19.273504,1.8818287,-0.79047227,-4.822916,-12.380527,-5.4003067,1.9609997,-4.0332785,1.1708747,-4.8263035,1.735652,-3.6762142,-3.1112034,-2.074704,-0.07571205,-5.128473,-2.1841247,-2.1041815,-5.7886953,0.66109306,-5.3279524,-1.6452512,-0.6122649,-1.6334202,-0.3334953,-3.6403754,-2.0624928,-3.3073144,-2.5822191,-0.8171736,-2.0746648,-4.1372385,-2.5583446,-4.485293,-1.308841,-2.0090344,-3.0765326,neutral
-678.0028,51.6732,-0.24966253,14.532812,0.57228285,-0.07481274,-6.3000164,-10.638877,-7.673524,1.3027632,-3.796279,1.9109582,-5.634522,0.2498501,-2.2923234,-5.5613265,-1.1147866,0.5741472,-5.3465242,-2.2686937,-1.9587063,-4.5662775,-0.043100543,-2.9651477,-2.6428638,-1.2552329,-1.5514656,-0.9973477,-2.922501,-2.2246702,-2.4300265,-2.818319,-1.8723388,-1.5919318,-4.2043695,-2.8283823,-2.9088383,-1.6535791,-2.2089665,-2.5740194,neutral
-674.1987,50.815395,1.6719037,14.46561,2.9090834,1.7061515,-7.5254707,-11.343741,-7.0870914,1.6866219,-2.4847612,0.53446126,-4.6442285,1.1819588,-1.4281125,-4.821228,-0.44238335,-0.7852893,-4.795967,-3.160321,-1.0168316,-4.1360097,-0.92432433,-3.5395951,-2.1113381,-1.2419988,-0.793677,-1.408689,-3.1906223,-2.7515478,-3.6286972,-2.9533246,-1.3537686,-1.4079118,-3.4771829,-3.8666396,-3.4199336,-1.5676827,-2.1039724,-2.74647,neutral
-709.2609,55.990368,2.472364,16.629053,3.1925988,-0.967488,-5.9351096,-8.926056,-9.092817,1.8279257,-4.4970574,0.69059217,-5.059726,2.0186985,-3.2756574,-4.3397293,-0.58902603,-2.4211833,-4.6638727,-2.7063825,-2.744323,-5.642145,-0.20151448,-4.8792076,-1.5661746,-1.0402645,-1.6299855,-0.64541703,-2.6296175,-1.4963115,-3.53737,-0.8848939,-1.425653,-1.6793803,-3.4838867,-3.703166,-4.056764,-2.4165998,-1.2140208,-1.6417828,calm
-695.5115,61.431446,-0.7476751,14.4218235,4.581593,-2.692318,-7.145618,-8.082644,-8.4222975,2.0046177,-3.6091511,-0.4149153,-5.327977,0.2995895,-2.5894961,-5.0812025,-0.9848471,-1.5656564,-4.8886876,-2.9121666,-2.6279726,-5.6632094,-0.82144874,-4.2530427,-2.0189724,-1.6744182,-1.3214402,-1.960487,-3.8607225,-3.1216414,-4.821559,-3.0451217,-1.5202298,-2.7295566,-4.3431263,-4.7902,-4.24149,-1.2597553,-2.1132631,-1.2640078,calm
-687.58435,58.26385,-0.09324539,14.112365,1.6611795,1.6702243,-6.5032716,-8.906676,-8.093613,2.2530532,-2.0594962,0.19861229,-4.9954686,3.0107088,-4.6697755,-5.9104013,-0.68265927,-1.3209091,-6.290545,-2.9827003,-2.1382954,-4.8222184,-0.66337633,-4.6891603,-2.5439193,-1.6348214,-2.7093406,-1.5503489,-3.5751677,-1.7485315,-4.7097754,-3.6541936,-2.8160233,-1.7615243,-4.6215644,-4.269326,-3.278324,-2.2371018,-3.1774921,-2.086033,calm
-684.9442,62.51678,-1.0898701,15.946917,2.3825934,1.3496515,-6.6137443,-9.018855,-7.464589,0.7911609,-2.3049755,0.78953546,-4.8474374,2.3311393,-3.3247755,-5.316824,-0.7301887,-1.4046046,-6.292925,-3.4043145,-1.7339408,-3.9356894,-1.0287584,-3.7023165,-2.1071749,-2.4285133,-1.9802189,-2.2095606,-3.3459227,-1.7799546,-3.7600083,-3.2849479,-1.7223729,-1.471561,-3.7327998,-3.780954,-3.5745122,-2.0517042,-2.676475,-2.0493538,calm
-717.4787,63.972992,1.9455185,15.866345,3.7456024,-1.9046602,-6.0341196,-5.460269,-8.026063,2.097296,-1.0509269,-1.0559185,-4.7164626,0.830117,-1.7711796,-3.1384854,-2.2601573,1.7601942,-6.9797473,-1.4733531,-2.7319314,-5.103998,-0.72758275,-3.222778,-0.8853915,-1.3380512,-1.8818294,-1.9004287,-4.7656546,-2.789591,-3.9462354,-3.550083,-0.43160143,-3.1346247,-4.1280556,-5.225554,-2.9450428,-2.333156,-2.5877175,-2.3532426,calm
-678.7297,59.957573,-2.5056088,13.837838,1.4085264,-2.2568371,-8.747708,-8.075612,-8.372251,2.690716,-2.341522,-1.9679642,-5.243025,0.65302384,-3.9988961,-3.7378838,-1.6259372,-0.055971447,-6.50327,-1.3135619,-2.011439,-4.9824643,-1.3707657,-4.134998,-2.4184816,-1.3633567,-2.1464493,-2.8631165,-4.2019677,-3.6291475,-4.5429726,-4.3286657,-1.4708383,-2.1618829,-3.890958,-4.6598225,-3.5923069,-2.6415892,-2.7327313,-2.8239524,calm
